Name,Collection,Category,Color Name,Color ID,LRV,h,R,G,B,HEX
FSW9501,Form + Function,Whites,Oat Milk,SW9501,70,96.98,222,218,205,DEDACD
FSW9502,Form + Function,Whites,Arrowroote,SW9502,73,93.47,228,222,207,E4DECF
FSW9503,Form + Function,Whites,Cheviot,SW9503,89,92.75,246,242,232,F6F2E8
FSW9504,Form + Function,Whites,Cold Foam,SW9504,84,97.4,239,236,227,EFECE3
FSW9505,Form + Function,Whites,Frost Bite,SW9505,88,90.67,246,240,229,F6F0E5
FSW9506,Form + Function,Tints,Warm Winter,SW9506,70,91.58,225,217,198,E1D9C6
FSW9507,Form + Function,Tints,Cream and Sugar,SW9507,64,84.42,221,207,185,DDCFB9
FSW9508,Form + Function,Tints,Natural Wool,SW9508,59,87.86,215,201,174,D7C9AE
FSW9509,Form + Function,Tints,Steamed Chai,SW9509,67,88.12,224,212,189,E0D4BD
FSW9510,Form + Function,Tints,Peace of Mind,SW9510,49,88.35,196,185,163,C4B9A3
FSW9511,Form + Function,Natural Neutrals,Warm Oats,SW9511,63,92.48,216,207,186,D8CFBA
FSW9512,Form + Function,Natural Neutrals,Threaded Loom,SW9512,54,87.05,206,194,170,CEC2AA
FSW9513,Form + Function,Natural Neutrals,Sleepy Owlet,SW9513,39,87.16,181,167,141,B5A78D
FSW9514,Form + Function,Natural Neutrals,Zinc Luster,SW9514,23,87.08,140,131,115,8C8373
FSW9515,Form + Function,Natural Neutrals,Tungsten,SW9515,8,78.2,88,78,65,584E41
FSW9516,Form + Function,Natural Neutrals,Accolade,SW9516,62,91.71,213,206,191,D5CEBF
FSW9517,Form + Function,Natural Neutrals,Outrigger,SW9517,45,90.26,187,178,160,BBB2A0
FSW9518,Form + Function,Natural Neutrals,Featherstone,SW9518,29,93.84,153,145,124,99917C
FSW9519,Form + Function,Natural Neutrals,Country Tweed,SW9519,20,89.79,131,123,104,837B68
FSW9520,Form + Function,Natural Neutrals,Nocturne,SW9520,8,86.56,84,78,66,544E42
FSW9521,Form + Function,Natural Neutrals,Simple Stone,SW9521,57,95.39,205,199,183,CDC7B7
FSW9522,Form + Function,Natural Neutrals,Meander,SW9522,42,93.69,182,174,153,B6AE99
FSW9523,Form + Function,Natural Neutrals,Canal Street,SW9523,29,100.25,150,146,129,969281
FSW9524,Form + Function,Natural Neutrals,Crooked River,SW9524,18,106.29,121,120,105,797869
FSW9525,Form + Function,Natural Neutrals,Hidden Trail,SW9525,10,97.23,95,91,77,5F5B4D
FSW9526,Form + Function,Natural Neutrals,Woolen Mittens,SW9526,46,90.74,191,179,151,BFB397
FSW9527,Form + Function,Natural Neutrals,Worn Khaki,SW9527,34,92.16,166,156,129,A69C81
FSW9528,Form + Function,Natural Neutrals,Vintage,SW9528,23,89.4,144,132,104,908468
FSW9529,Form + Function,Natural Neutrals,Twig Basket,SW9529,16,84.72,125,110,82,7D6E52
FSW9530,Form + Function,Natural Neutrals,Momentum,SW9530,8,86.75,92,78,46,5C4E2E
FSW9531,Form + Function,Natural Neutrals,Stone Guardians,SW9531,50,88.82,202,186,151,CABA97
FSW9532,Form + Function,Natural Neutrals,Earthy Ochre,SW9532,43,89.62,190,174,136,BEAE88
FSW9533,Form + Function,Natural Neutrals,Rattan Palm,SW9533,28,87.61,158,142,108,9E8E6C
FSW9534,Form + Function,Natural Neutrals,River Reed,SW9534,25,87.45,148,135,110,94876E
FSW9535,Form + Function,Natural Neutrals,Nettle,SW9535,11,86.97,102,91,68,665B44
FSW9536,Form + Function,Natural Neutrals,Lamb's Wool,SW9536,48,79.66,202,181,152,CAB598
FSW9537,Form + Function,Natural Neutrals,Sugared Almond,SW9537,35,80.04,180,157,123,B49D7B
FSW9538,Form + Function,Natural Neutrals,Tangled Twine,SW9538,27,80.09,161,138,103,A18A67
FSW9539,Form + Function,Natural Neutrals,Shaker Peg,SW9539,19,78.03,141,117,83,8D7553
FSW9540,Form + Function,Natural Neutrals,Timber Beam,SW9540,13,76.01,121,96,64,796040
FSW9541,Minimal + Modern,Whites,White Snow,SW9541,90,101.83,245,244,238,F5F4EE
FSW9542,Minimal + Modern,Whites,Natural White,SW9542,83,101.52,236,235,232,ECEBE8
FSW9543,Minimal + Modern,Whites,Gypsum,SW9543,82,117.68,234,235,231,EAEBE7
FSW9544,Minimal + Modern,Whites,Dashing,SW9544,83,119.31,234,235,232,EAEBE8
FSW9545,Minimal + Modern,Whites,Ghosted,SW9545,75,98.86,226,224,220,E2E0DC
FSW9546,Minimal + Modern,Tints,Lunar Lite,SW9546,73,88.29,224,221,216,E0DDD8
FSW9547,Minimal + Modern,Tints,Vessel,SW9547,58,86.41,205,200,191,CDC8BF
FSW9548,Minimal + Modern,Tints,Sweater Weather,SW9548,60,108.26,204,204,197,CCCCC5
FSW9549,Minimal + Modern,Tints,Touch of Grey,SW9549,62,89.3,209,207,202,D1CFCA
FSW9550,Minimal + Modern,Tints,Mercurial,SW9550,61,82.83,209,204,198,D1CCC6
